b,eta,kappa,a_h,mu,omega,a_d,D,alpha,rho,delta,Id,Ic,Iw
2.5e-5,150,50,1,1e5,1,0,1,0.05555555555555555,0,0,0.004840134319977286,1.5136062810769404e-4,0
2.5e-5,200,50,1,1e5,1,0,1,0.05555555555555555,0,0,0.004913574408350349,8.64206159037597e-5,0
2.5e-5,150,50,1,109854.11419875572,1,0,1,0.05555555555555555,0,0,0.004826703128207084,1.6534246263095843e-4,0
2.5e-5,200,50,1,109854.11419875572,1,0,1,0.05555555555555555,0,0,0.004905370138459814,9.462519772342098e-5,0
2.5e-5,150,50,1,120679.26406393289,1,0,1,0.05555555555555555,0,0,0.004812086294494996,1.8052365441561326e-4,0
2.5e-5,200,50,1,120679.26406393289,1,0,1,0.05555555555555555,0,0,0.004896418615874803,1.0357704061800447e-4,0
2.5e-5,150,50,1,132571.1365590108,1,0,1,0.05555555555555555,0,0,0.0047961921715723,1.9698991816955198e-4,0
2.5e-5,200,50,1,132571.1365590108,1,0,1,0.05555555555555555,0,0,0.004886657893632176,1.133380895872e-4,0
2.5e-5,150,50,1,145634.84775012443,1,0,1,0.05555555555555555,0,0,0.004778928094957478,2.1483009116902532e-4,0
2.5e-5,200,50,1,145634.84775012443,1,0,1,0.05555555555555555,0,0,0.004876022341721633,1.239739744581932e-4,0
2.5e-5,150,50,1,159985.87196060573,1,0,1,0.05555555555555555,0,0,0.0047601984681360605,2.341355827491012e-4,0
2.5e-5,200,50,1,159985.87196060573,1,0,1,0.05555555555555555,0,0,0.004864441092541461,1.3555555381088345e-4,0
2.5e-5,150,50,1,175751.06248547928,1,0,1,0.05555555555555555,0,0,0.004739903250373232,2.549996988681884e-4,0
2.5e-5,200,50,1,175751.06248547928,1,0,1,0.05555555555555555,0,0,0.004851841178416354,1.4815579875933119e-4,0
2.5e-5,150,50,1,193069.77288832495,1,0,1,0.05555555555555555,0,0,0.004717946104739862,2.7751714874842245e-4,0
2.5e-5,200,50,1,193069.77288832495,1,0,1,0.05555555555555555,0,0,0.004838144397600195,1.6185290573013527e-4,0
2.5e-5,150,50,1,212095.08879201926,1,0,1,0.05555555555555555,0,0,0.004694222546620512,3.017838903166361e-4,0
2.5e-5,200,50,1,212095.08879201926,1,0,1,0.05555555555555555,0,0,0.004823269085329675,1.7672853611827046e-4,0
2.5e-5,150,50,1,232995.1810515372,1,0,1,0.05555555555555555,0,0,0.004668632866054166,3.278942577691262e-4,0
2.5e-5,200,50,1,232995.1810515372,1,0,1,0.05555555555555555,0,0,0.004807130359692769,1.928675695142088e-4,0
2.5e-5,150,50,1,255954.79226995332,1,0,1,0.05555555555555555,0,0,0.004641079473158308,3.5594178501538194e-4,0
2.5e-5,200,50,1,255954.79226995332,1,0,1,0.05555555555555555,0,0,0.004789637956648864,2.1036026316064517e-4,0
2.5e-5,150,50,1,281176.8697974231,1,0,1,0.05555555555555555,0,0,0.004611464351164455,3.8601743886124655e-4,0
2.5e-5,200,50,1,281176.8697974231,1,0,1,0.05555555555555555,0,0,0.0047707032041395805,2.292952901632286e-4,0
2.5e-5,150,50,1,308884.3596477478,1,0,1,0.05555555555555555,0,0,0.00457969656780165,4.182088670175419e-4,0
2.5e-5,200,50,1,308884.3596477478,1,0,1,0.05555555555555555,0,0,0.00475023050060765,2.4976824622905265e-4,0
2.5e-5,150,50,1,339322.17718953296,1,0,1,0.05555555555555555,0,0,0.004545689726230081,4.5259781061454365e-4,0
2.5e-5,200,50,1,339322.17718953296,1,0,1,0.05555555555555555,0,0,0.004728124745163198,2.7187423082538736e-4,0
2.5e-5,150,50,1,372759.3720314938,1,0,1,0.05555555555555555,0,0,0.004509368337078234,4.892596297645964e-4,0
2.5e-5,200,50,1,372759.3720314938,1,0,1,0.05555555555555555,0,0,0.004704289404061361,2.9570977599040167e-4,0
2.5e-5,150,50,1,409491.5062380427,1,0,1,0.05555555555555555,0,0,0.00447066054383061,5.282629874761028e-4,0
2.5e-5,200,50,1,409491.5062380427,1,0,1,0.05555555555555555,0,0,0.004678629682765108,3.2136967482753766e-4,0
2.5e-5,150,50,1,449843.2668969444,1,0,1,0.05555555555555555,0,0,0.004429510820542388,5.696641617406583e-4,0
2.5e-5,200,50,1,449843.2668969444,1,0,1,0.05555555555555555,0,0,0.00465104624812932,3.489532610259356e-4,0
2.5e-5,150,50,1,494171.33613238385,1,0,1,0.05555555555555555,0,0,0.00438587060722049,6.135132137468447e-4,0
2.5e-5,200,50,1,494171.33613238385,1,0,1,0.05555555555555555,0,0,0.004621447057061009,3.7855257789311356e-4,0
2.5e-5,150,50,1,542867.543932386,1,0,1,0.05555555555555555,0,0,0.004339707153338828,6.598455140527564e-4,0
2.5e-5,200,50,1,542867.543932386,1,0,1,0.05555555555555555,0,0,0.0045897393271657864,4.1026040931782515e-4,0
2.5e-5,150,50,1,596362.3316594637,1,0,1,0.05555555555555555,0,0,0.004291004099077855,7.086811342735603e-4,0
2.5e-5,200,50,1,596362.3316594637,1,0,1,0.05555555555555555,0,0,0.004555842564187649,4.441572516133164e-4,0
2.5e-5,150,50,1,655128.5568595509,1,0,1,0.05555555555555555,0,0,0.004239755387045099,7.600307279959136e-4,0
2.5e-5,200,50,1,655128.5568595509,1,0,1,0.05555555555555555,0,0,0.004519674131231081,4.8032574482025905e-4,0
2.5e-5,150,50,1,719685.6730011514,1,0,1,0.05555555555555555,0,0,0.004185971278951701,8.138886908827359e-4,0
2.5e-5,200,50,1,719685.6730011514,1,0,1,0.05555555555555555,0,0,0.004481162837929022,5.188370818854346e-4,0
2.5e-5,150,50,1,790604.3210907702,1,0,1,0.05555555555555555,0,0,0.004129686120436547,8.702260020832539e-4,0
2.5e-5,200,50,1,790604.3210907702,1,0,1,0.05555555555555555,0,0,0.004440242298737516,5.597576516021066e-4,0
2.5e-5,150,50,1,868511.3737513521,1,0,1,0.05555555555555555,0,0,0.004070936886185631,9.290104839279104e-4,0
2.5e-5,200,50,1,868511.3737513521,1,0,1,0.05555555555555555,0,0,0.004396863380439106,6.03136590317149e-4,0
2.5e-5,150,50,1,954095.4763499944,1,0,1,0.05555555555555555,0,0,0.004009793617492594,9.901764451639792e-4,0
2.5e-5,200,50,1,954095.4763499944,1,0,1,0.05555555555555555,0,0,0.004350977114506174,6.490228691556888e-4,0
2.5e-5,150,50,1,1048113.1341546853,1,0,1,0.05555555555555555,0,0,0.003946323748612474,0.0010536601665033063,0
2.5e-5,200,50,1,1048113.1341546853,1,0,1,0.05555555555555555,0,0,0.004302570806780859,6.974291846381125e-4,0
2.5e-5,150,50,1,1151395.399326448,1,0,1,0.05555555555555555,0,0,0.0038806318191077363,0.0011193600672792729,0
2.5e-5,200,50,1,1151395.399326448,1,0,1,0.05555555555555555,0,0,0.004251599868020974,7.484001277534459e-4,0
2.5e-5,150,50,1,1264855.2168552957,1,0,1,0.05555555555555555,0,0,0.0038128161026408564,0.001187180085201543,0
2.5e-5,200,50,1,1264855.2168552957,1,0,1,0.05555555555555555,0,0,0.004198145188115621,8.018548099517038e-4,0
2.5e-5,150,50,1,1389495.494373136,1,0,1,0.05555555555555555,0,0,0.0037430100110335917,0.0012569883312961501,0
2.5e-5,200,50,1,1389495.494373136,1,0,1,0.05555555555555555,0,0,0.004142145617467056,8.578543817181943e-4,0
2.5e-5,150,50,1,1526417.9671752334,1,0,1,0.05555555555555555,0,0,0.0036713394472365525,0.0013286598912270822,0
2.5e-5,200,50,1,1526417.9671752334,1,0,1,0.05555555555555555,0,0,0.00408364227544542,9.163577242410401e-4,0
2.5e-5,150,50,1,1676832.9368110066,1,0,1,0.05555555555555555,0,0,0.0035979661402271677,0.0014020336201125952,0
2.5e-5,200,50,1,1676832.9368110066,1,0,1,0.05555555555555555,0,0,0.0040227842795746,9.7721572031595e-4,0
2.5e-5,150,50,1,1842069.9693267164,1,0,1,0.05555555555555555,0,0,0.0035230386553264247,0.0014769612666809219,0
2.5e-5,200,50,1,1842069.9693267164,1,0,1,0.05555555555555555,0,0,0.0039595328536381705,0.0010404671463276236,0
2.5e-5,150,50,1,2023589.6477251556,1,0,1,0.05555555555555555,0,0,0.003446737676383115,0.0015532623010841957,0
2.5e-5,200,50,1,2023589.6477251556,1,0,1,0.05555555555555555,0,0,0.0038940220747584356,0.0011059779252321088,0
2.5e-5,150,50,1,2222996.4825261957,1,0,1,0.05555555555555555,0,0,0.0033692294604239508,0.0016307705338700063,0
2.5e-5,200,50,1,2222996.4825261957,1,0,1,0.05555555555555555,0,0,0.0038263162163623605,0.001173683783635359,0
