b,eta,kappa,a_h,mu,omega,a_d,D,alpha,rho,delta,Id,Ic,Iw
2.5e-5,150,50,0.25,0,1,0.7,1,0.05555555555555555,100,0,0.00498008090369996,0,3.219705818783224e-6
2.5e-5,200,50,0.25,0,1,0.7,1,0.05555555555555555,100,0,0.004998222700017301,0,1.7677813134376028e-6
2.5e-5,150,50,0.25,0,10,0.7,1,0.05555555555555555,100,0,0.00495228068763519,0,3.1891636574305614e-5
2.5e-5,200,50,0.25,0,10,0.7,1,0.05555555555555555,100,0,0.004982412637258236,0,1.7578640346243454e-5
2.5e-5,150,50,0.25,0,1,0.7,1,0.05555555555555555,120.67926406393289,0,0.004979463836256179,0,3.884504516950545e-6
2.5e-5,200,50,0.25,0,1,0.7,1,0.05555555555555555,120.67926406393289,0,0.004997857487813852,0,2.1330198398890778e-6
2.5e-5,150,50,0.25,0,10,0.7,1,0.05555555555555555,120.67926406393289,0,0.00494598946548827,0,3.840152663250725e-5
2.5e-5,200,50,0.25,0,10,0.7,1,0.05555555555555555,120.67926406393289,0,0.004978805422417166,0,2.118603465844933e-5
2.5e-5,150,50,0.25,0,1,0.7,1,0.05555555555555555,145.63484775012444,0,0.004978719404899499,0,4.686318384547468e-6
2.5e-5,200,50,0.25,0,1,0.7,1,0.05555555555555555,145.63484775012444,0,0.0049974168807015275,0,2.5736579200100207e-6
2.5e-5,150,50,0.25,0,10,0.7,1,0.05555555555555555,145.63484775012444,0,0.004938430976506326,0,4.621950826239861e-5
2.5e-5,200,50,0.25,0,10,0.7,1,0.05555555555555555,145.63484775012444,0,0.004974464572038019,0,2.552709578975421e-5
2.5e-5,150,50,0.25,0,1,0.7,1,0.05555555555555555,175.7510624854791,0,0.004977821465113889,0,5.653268116513507e-6
2.5e-5,200,50,0.25,0,1,0.7,1,0.05555555555555555,175.7510624854791,0,0.004996885366334813,0,3.105209523908339e-6
2.5e-5,150,50,0.25,0,10,0.7,1,0.05555555555555555,175.7510624854791,0,0.004929358567652478,0,5.5599168525755235e-5
2.5e-5,200,50,0.25,0,10,0.7,1,0.05555555555555555,175.7510624854791,0,0.004969244080143647,0,3.074783481232391e-5
2.5e-5,150,50,0.25,0,1,0.7,1,0.05555555555555555,212.09508879201903,0,0.00497673829886526,0,6.819204460791879e-6
2.5e-5,200,50,0.25,0,1,0.7,1,0.05555555555555555,212.09508879201903,0,0.004996244244438236,0,3.7463761888151674e-6
2.5e-5,150,50,0.25,0,10,0.7,1,0.05555555555555555,212.09508879201903,0,0.004918480432567116,0,6.683929806443415e-5
2.5e-5,200,50,0.25,0,10,0.7,1,0.05555555555555555,212.09508879201903,0,0.004962970115261557,0,3.7022087796003715e-5
2.5e-5,150,50,0.25,0,1,0.7,1,0.05555555555555555,255.95479226995357,0,0.004975432141490806,0,8.22482471634202e-6
2.5e-5,200,50,0.25,0,1,0.7,1,0.05555555555555555,255.95479226995357,0,0.004995470898420976,0,4.519774979128872e-6
2.5e-5,150,50,0.25,0,10,0.7,1,0.05555555555555555,255.95479226995357,0,0.004905454125952226,0,8.02900679475659e-5
2.5e-5,200,50,0.25,0,10,0.7,1,0.05555555555555555,255.95479226995357,0,0.004955435522758535,0,4.45570129741694e-5
2.5e-5,150,50,0.25,0,1,0.7,1,0.05555555555555555,308.88435964774817,0,0.004973857136557291,0,9.919052459331759e-6
2.5e-5,200,50,0.25,0,1,0.7,1,0.05555555555555555,308.88435964774817,0,0.004994538432920397,0,5.4523032163982445e-6
2.5e-5,150,50,0.25,0,10,0.7,1,0.05555555555555555,308.88435964774817,0,0.004889879859505685,0,9.635928952832624e-5
2.5e-5,200,50,0.25,0,10,0.7,1,0.05555555555555555,308.88435964774817,0,0.004946398664785523,0,5.35942523636167e-5
